100000 100 4
773085497 227536789 510028197 364826634
185275951 626204693 467682391 629892821
501317276 258266119 769445718 49566456
702125285 500158147 277266959 361852564
651898177 589685060 938756033 246245549
701818431 197538484 994610626 140097613
680320003 714042923 884982673 879890459
440607685 499549202 462539408 193355547
303307472 569071800 457648043 378899072
832991784 769158783 859123387 616238151
880232225 709304855 961469843 497547047
261951761 265176363 431110112 131636595
681764003 136768319 941154192 444102712
812200691 894456225 695129987 783379564
561071194 353380692 94683316 217326405
288215476 948705638 381226166 893934659
73758467 775014312 971498817 81766475
299957911 747731425 59529174 863157950
316503248 863237149 935045773 487917386
283162067 515198934 662189450 167569890
585060763 43568416 601892715 60354831
821653337 189646363 631905086 501782878
989438699 79690643 18195678 160549306
576843149 978549561 377589674 547592612
513832103 519210017 289108016 310283283
827842593 417072312 125346055 408156014
724066705 52072810 480583134 483811615
460982454 1491587 33609076 521318307
712857323 103357484 487672564 537855141
618603117 495358580 461457779 19021158
536585443 647882611 136232437 499723309
739279594 875978505 343006934 187909241
290341489 777925340 130035940 533720698
710899423 932779716 225301713 77977430
742990586 204184182 150262106 64113049
777734483 382526114 42421071 896701417
154409921 418547493 855727176 473276406
274055310 606563192 225436387 538888979
703108501 287841483 19592748 183103794
437270279 210776487 576256752 972741142
647424599 587724629 768685275 789874117
39669253 539838152 373685769 673724100
114508133 222872717 326323699 649264401
559281554 535993167 112742986 571237682
472635042 983415103 645091795 149380839
462434368 817446079 340558219 633010151
892927250 734391427 702050865 275552767
963792460 821999174 612988084 556798774
124811265 472167636 458727289 322243499
735895914 477377537 71051245 824228327
126557786 328453636 942275581 382648912
708260176 702699232 317980686 979483482
92419724 785307107 218423784 59983805
687431671 618448968 808036262 867685603
853813400 203394189 945369834 422252767
363303282 547490367 104545750 549204368
976365512 188303975 734769920 16688386
225840611 753296604 355459449 836050313
814861991 577973927 198099698 706569676
697790789 667815398 206162340 424430462
844239081 244896540 433634313 721306336
894462825 281026933 240809340 179290867
154262293 403578291 50199327 58989164
84303753 255359360 384015816 60669081
865136354 379875993 859858387 545920727
15976757 871822876 941765450 900132563
248570024 21001830 854050309 619371564
246987044 669011645 274616489 564290461
475437834 878714998 633023918 662229528
396807577 625882516 877873987 154696514
402338030 717921202 548397179 914838146
79603081 278903435 901205652 934163901
375035484 137068155 530222464 377155822
53445830 118119420 101665514 630375924
593738471 627971274 538106244 657615616
566850698 412120383 219904434 417311932
451871022 43190810 353677769 334251976
716092810 911055512 17895171 189341259
594761266 473865036 800313441 338251970
640611800 407832586 241880828 895647641
952136702 248457433 371988666 873225301
475272292 773419192 750840697 824896850
72780825 771177313 282758891 532966245
152509475 224078414 58651190 513270602
366335384 476889593 489661636 546501270
691944765 178197135 295484499 360999522
726984320 534067429 814218214 78338095
727928249 786246441 582429794 517463073
74048662 259701325 902016617 116319361
138926642 609358940 722738930 375288559
675147392 604690654 976389662 176189039
425636745 638380996 982048266 529443814
575325183 634870264 888055573 496431631
470834569 166426060 648761128 936004589
318649999 253465614 796336088 719453315
539573779 522747212 658902572 17910460
266464612 989214357 696678189 459147202
31628047 653794098 754963017 164584927
703106026 661360517 995188842 161606434
31355983 349092506 29252512 217194151
459975178 595461503 132245983 616873966
267857102 4550437 433078847 669045232
587185905 208239084 431315325 409845209
641874301 298154057 566132170 259551778
294368811 475468556 762138338 603292408
935622682 493007047 349590304 930014851
785165867 959342445 95774590 971860342
700737465 274095640 357974702 13072728
93693404 91761891 6012254 178535023
890572278 735464913 258722796 44518184
96441541 553077696 945660379 795184958
220080885 205975320 307960721 390686332
280201428 550193708 45081913 652977066
825399248 600945223 346629584 568202195
514643972 207899351 498734282 399410035
792460651 737062242 397045499 74687593
902904638 388589057 58642736 28864935
150103847 408355516 715465052 512416652
522966052 410509118 296012409 33223341
855495996 761506527 190741999 929788422
33687518 614245283 227522994 416563726
140499767 446972367 226605402 806169587
824929215 491367531 466789346 502122523
735067945 147438933 819918915 871972932
263184226 371065137 144391472 293462509
37676553 713468156 845048088 454044897
29024287 363531022 910194790 963323167
849378339 423589030 908085199 227936393
221971664 87105093 811758840 503770729
561193966 274004581 456972370 648831452
113653395 406938739 878016019 389206663
53636104 821820061 680969751 985507081
73886432 989400295 893371264 895367899
710409907 285935732 470034054 931023736
947129658 180147730 280836478 697764227
659794886 148710237 862048583 831381187
219633075 261771776 18985210 140181665
899124250 42001587 80980324 98069946
883599895 866059242 992796261 71521051
523599246 860935175 219768542 894194940
938226293 125018053 33202133 846893851
263929211 314288272 154628601 665727358
983283734 362952101 815705813 923638438
947412280 429985593 342209912 326678182
200242992 677839195 421928657 31091445
706336323 323475243 50445775 206964300
93601297 862325856 724485296 673740618
583341492 559174140 868098230 926083352
910160653 314589932 421363432 458138665
263673190 428856168 490912252 772976922
205736869 213916403 861458560 602119740
4186815 942963551 339854043 85850460
45581545 302199749 38829608 167256829
114564419 761845955 231933465 910085964
742737752 235471890 304367228 209283595
291593350 621030575 741389793 586494794
547512914 546624156 221645053 313973769
30089726 794202495 183254698 139885012
120998666 690475993 358172724 174111424
52006734 706341917 89698169 873075705
474239093 796165701 573772334 604705714
478667035 158593092 395904508 880622023
98963455 234976908 470857604 399610094
512001210 461485057 706559600 384134654
194452111 596778584 583147666 797214955
25520956 296348530 974381894 231036479
468164312 250577272 315293207 181981997
343814512 1605892 138315048 803784902
858748741 673603701 27176233 648935300
294206093 619346845 709929518 914545432
609104551 837211490 402985205 619271566
102852028 222302277 19421587 294029979
851779113 612774575 878643824 504264630
927089449 441437904 266702639 387724894
813813880 800204948 816741967 388727250
905673907 733373167 62245155 375877919
140261019 365591711 397846016 911850503
286175656 402145921 1979584 148781230
439935647 605204645 513686884 748883706
750185614 917068383 802367860 739258622
429082442 549208856 267414513 297088117
534443510 399176306 914233301 497440751
922072163 905813857 389285130 344032
577145924 112188746 210358715 42238406
528909797 464110160 920086012 642622321
180528058 416081065 442272515 169026051
736262955 945327918 302149567 557726671
10568011 831421371 93974882 5592075
905298526 991821085 523608353 705042509
248854128 518993514 327353230 200695514
482955217 334388464 106758420 957108115
134642648 335993701 674992846 996726402
956512204 125771653 768215085 904352713
244645577 853420049 683977889 780839185
787814129 97262082 300050624 437027428
135607522 808534995 539735354 110987483
366420980 548980212 507764785 296929470
169386993 617117009 512235961 445426435
805891683 767234736 449575065 260731323
402411742 263362346 447139811 863523103
331204708 240904695 306027728 311475599
995954564 753908050 471772995 248432104
889506648 383606984 365153198 511939435
138733075 134840485 854684314 839625164
423670487 597470611 58555512 497820775
982763011 2892090 171159053 452296427
412215227 839938901 625465912 265029110
832212821 217651263 411036767 165493997
430514127 284501213 964618658 131254851
754146557 549401322 398274718 706067055
130309001 455437762 470496389 92585995
133140050 134830538 660221526 673851366
650964277 594868330 180866054 283060349
873073705 5542414 979383612 96901408
402839617 570500230 712997530 601173665
693419227 405377436 624003872 311955796
902901317 315679533 925655148 164004175
723909393 937656667 173863897 665501971
879605086 450039520 766667817 26415330
374892522 253919284 656245760 566572383
912890694 215526544 201087542 77466182
989268795 348385684 342388765 327511340
969985598 974883698 268955532 489448299
578315987 935452288 896917798 366320920
956888684 368450077 401569671 803068905
606263301 714258388 885437986 315870109
244449037 32268488 12148578 729864719
705275858 545122056 739953774 279581539
785998280 574914428 371592676 18597903
969629409 351636491 627142371 283103075
398451894 825187465 997375582 588740172
808044325 24940839 338013043 392324205
377682444 884191369 637929806 579647450
928353403 35238705 611594125 719795022
794000575 713354331 820130414 346543948
728664571 896268583 116198654 335913130
401055614 243156217 563085259 219156731
619407544 192158629 880508095 386271880
324515530 318401179 841912203 65528523
181654108 782478581 675518343 364345955
926171346 688171473 148142128 125919459
896882423 291259181 97611131 24511285
644736663 859480444 432986041 777321384
459418170 72780142 118383164 784122566
42368813 826518955 967297379 678156356
138095894 934278161 367042341 950541525
154218262 350944223 27738777 509615330
700869155 47221909 592133664 156514669
891313651 692592810 508084135 295402928
60260446 881887052 761082630 291598144
82642033 90180330 783611557 742761950
754803229 596440872 61519822 128923019
28697006 236572952 764877091 35477520
201848456 692631813 42500989 598327722
66963811 380748025 728495202 775247569
486105930 550331068 137447566 925587674
940961404 407958417 561715897 118651168
653508350 446591183 368125034 966376554
26134797 578372054 43246650 678119918
590628001 369686172 627800817 746736491
192593255 714792203 465710238 943001953
922371154 107935767 579736234 445680778
141532643 800692518 242992392 874419104
707263421 561695960 979570610 196534298
330706751 499085114 169898322 60859770
404292300 382765663 110687249 30091052
865302858 729707025 14628710 236882938
848231404 777052112 547202836 720061624
605008656 539646513 513750157 587272197
489397564 47295183 958771532 424916800
333298254 79853288 758749953 217302743
555506611 874974861 128228498 125843227
239311671 800851971 986091768 816328478
798353516 648186240 86234088 728683086
815402001 635038698 565464087 473841153
139404136 648808593 368980946 573481884
12753658 81450188 55165864 46946854
626722263 463160780 355911270 572680180
572992335 23110027 485188767 537071920
418379289 317353987 253240174 835844340
277973311 689967707 960297386 186658554
167206437 740167487 414275295 839655171
373082898 418431892 799907865 55476666
434092166 298355229 276470107 98550365
624106192 887582593 965624120 464131067
149188930 228560360 517146222 843439696
223688569 336175921 510083241 682075076
204674726 629248291 407337713 475779740
236412471 761071676 730311320 54962892
429501298 883155963 644446624 424551774
708562990 611827371 724992378 308045829
846944848 998487074 665092776 710854915
557724890 676153934 269741432 887632204
439768527 938598088 364963216 377478792
549006006 732363925 723400098 923761233
845283265 249755955 689222960 704589129
725245303 387500412 257084082 839453656
913500173 926291952 433909446 364793180
733268395 124493228 5146249 452141887
835822703 506029749 955216553 624509865
884069781 820672783 447430125 983230664
598465414 932101528 653484848 602965448
114147555 121066536 920937329 114947511
700234713 854417791 831596137 201233059
503741516 149527621 974740121 604809779
762376645 45771883 406418110 80259536
801324455 652663053 199662943 771729655
388587824 848056764 265362333 653686169
496324114 292887587 788488427 631944906
154704416 391855014 751582568 241975422
378473327 847780903 662249039 50646024
685849491 283824410 93216803 145444121
740724368 500796641 776220561 652689965
103166176 357367439 794304330 980267863
214077080 323526025 887750811 939966567
418099029 949940574 586430004 673468846
694003635 281495617 467294265 266469110
123954753 997821280 795791506 663648838
526233651 31418897 786475360 560196859
192916986 420922925 45713616 679113459
856332393 502649287 187502497 319215547
670599747 669907821 735317457 341579775
173247873 248147667 489608329 884393365
38577703 461872306 839899550 689328506
526723289 444987049 106320383 465874523
521430912 403598614 894467452 943427926
690789157 747534302 572532216 435534897
229951799 560721175 183617160 191211739
14639571 12241370 560688617 338071572
759122431 911479993 191881280 161496696
619095609 208292115 833666507 963024975
686458408 985986006 493891575 725640210
253588021 69682588 361221666 469008262
854457052 361609116 660524624 354137217
152232555 926502584 631384792 902033720
413273709 333142961 652892606 3371564
236856238 440853009 333324665 306097137
583057367 806732144 43328418 963393711
295910788 606588484 779423854 405426012
836833417 407633726 385027278 968818746
204155186 660152909 612240867 297873664
206568395 158975969 838087264 590681977
732361719 501485121 293567800 144674624
513059497 192739336 535925735 665194484
731517069 702689221 731788926 979247657
825264437 53574069 685721755 90057594
576685290 222576887 366033239 145878499
212267699 922403703 940367405 60886451
485557676 455833897 484234302 300928114
998433629 118074632 586433365 542430345
667254332 178595937 572450230 337508755
383188015 253007107 420122743 8243478
650081327 415734861 471771026 16426463
511356646 594551527 62729065 701100153
342180593 335883065 924266269 139540240
505916375 776233895 851665098 976943729
968650492 76253541 122145148 483238269
519888939 171483292 654963158 457825594
177407983 351966061 39712575 834256983
896857232 616892260 115063995 542976595
999318162 96748100 4617979 342640240
377871909 679737018 811835426 750074562
651367014 663529757 606350508 529416380
108277619 396954263 885368822 27151845
999352481 741309077 423982057 953605827
170684946 407301130 63613298 559438917
272219899 978671997 720755415 954390244
799621210 360145527 878950500 289772759
83809412 587306146 835126898 454869629
746866914 428523704 32350035 98072620
931027039 183140340 730057187 788586367
929066579 639796877 813674067 243869117
400842960 270594885 664795076 814393798
27826761 794754298 523587963 84842473
114795728 266684688 845704884 947143408
629131397 7916991 956701408 632996783
375669211 446030578 349151926 24738373
943533366 157251226 989964390 214444171
950267999 389804521 109012009 995872795
201533014 753560966 828187990 515778790
437633063 669449936 662425232 603955163
938809430 218304119 575912184 326241779
633972892 42248811 758026934 186161012
334619232 985373761 193859117 379468007
475765504 710985010 743106252 184340822
501275011 183301598 275584719 338526161
945685420 225154609 711604418 250947437
938712733 369318103 882697942 909288222
812767091 216749925 507825501 810401121
243927175 953867098 238404878 149165248
245780327 327994140 225826965 16411978
813003320 589819388 149579229 494356195
839476586 795864465 257421059 76498343
187643440 740955871 615466541 755362809
837053073 963855805 955006366 815094872
953673000 903902435 624117614 63339094
254588942 956120480 200627928 453549722
503175752 959543878 657238808 125113352
90971477 144847055 361944781 681566920
805047673 431673593 556340081 37983680
941891381 615646864 746818727 955919125
836314275 941248867 495689628 428036452
580459825 780122594 825533273 270825970
192383062 352454073 197512250 852360006
237058266 854535037 109815551 806483568
591237102 12295004 239223103 526104186
733310706 922374766 633236231 482132765
895700300 294438179 650153040 525324021
614805053 871088298 335537413 243362525
997916397 866217597 695988985 497013916
858835795 947254 612589419 317691319
890278954 894210108 906411330 255396
372005283 391061180 989107047 634317210
37564882 664354431 905660175 455561398
20948518 109084348 512200768 287051847
906484558 235619556 25924532 479336464
679830742 105472510 372400741 96152720
400611760 288743682 641971242 643380001
